Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
2492,7,838,3,101,5000.0,0.0,65,221
1943,11,838,2,101,3500.0,0.0,65,221
2265,7,1612,2,108,7500.0,0.0,65,221
532,7,843,2,20,2200.0,0.0,65,221
668,7,838,2,51,2000.0,0.0,65,221
2203,5,880,2,64,2500.0,0.0,65,221
650,6,838,2,71,1800.0,0.0,65,221
303,7,1612,2,453,1200.0,0.0,65,221
1467,7,381,2,558,150.0,0.0,7,123
876,11,899,2,561,550.0,0.0,7,101
1552,6,838,2,572,1350.0,0.0,65,221
1520,2,838,2,572,6500.0,0.0,65,221
1846,17,364,2,500,0.0,0.0,65,221
747,7,364,2,500,600.0,0.0,65,221
991,7,364,2,500,500.0,0.0,65,221
801,7,364,2,500,6000.0,0.0,65,221
2765,7,364,2,500,0.0,0.0,65,221
551,17,364,2,500,0.0,0.0,65,221
800,7,364,2,500,0.0,0.0,65,221
802,7,364,2,500,0.0,0.0,65,221
970,7,364,2,500,0.0,0.0,65,221
2328,10,364,2,500,0.0,0.0,65,221
1474,7,768,2,500,850.0,0.0,65,221
1372,10,772,2,500,0.0,0.0,65,221
1536,10,897,2,508,0.0,0.0,7,39
2763,7,1425,2,539,26200.0,0.0,7,39
2745,7,365,2,549,1800.0,0.0,65,221
381,14,365,2,549,8000.0,0.0,65,221
476,7,365,2,549,0.0,0.0,65,221
1521,2,1487,2,640,13000.0,450.0,65,221
452,10,529,4,731,5500.0,0.0,65,221
457,6,529,4,731,4500.0,0.0,65,221
2210,1,461,7,734,1800.0,0.0,65,221
763,10,51,7,734,1500.0,0.0,65,221
2253,21,461,7,734,2000.0,0.0,65,221
1532,21,461,7,734,72000.0,5625.0,65,221
2190,7,461,7,734,4200.0,0.0,65,221
2233,7,461,7,734,1500.0,0.0,65,221
1964,7,837,2,748,1800.0,0.0,65,221
1386,7,1424,2,602,1500.0,0.0,65,221
2234,7,1424,2,602,1200.0,0.0,65,221
343,3,760,2,602,2000.0,0.0,65,221
1464,10,1424,2,619,2000.0,0.0,65,221
1472,10,837,2,633,0.0,0.0,65,221
2283,7,837,2,638,2500.0,0.0,65,221
2337,7,1303,2,638,0.0,0.0,65,221
2100,17,837,2,656,16000.0,0.0,65,221
1545,8,766,2,656,0.0,0.0,65,221
2750,17,1340,2,675,41000.0,4650.0,65,221
